,Unnamed: 0,id,mercado,time,odd,jogo,resultado,linha,tipo
0,0,173640075,draw_no_bet,MAN UTD (DANGERDIM77),1.727,CHELSEA (R0GE) X MAN UTD (DANGERDIM77),,,
1,1,173640075,draw_no_bet,MAN UTD (DANGERDIM77),1.727,CHELSEA (R0GE) X MAN UTD (DANGERDIM77),,,
2,2,173640075,draw_no_bet,MAN UTD (DANGERDIM77),1.727,CHELSEA (R0GE) X MAN UTD (DANGERDIM77),,,
3,3,173642401,handicap,PSG (MARINER),1.925,INTER (GIANT) X PSG (MARINER),,"-1.0 , -1.5",
4,4,173642398,handicap,BAYERN (RAZVAN),1.85,ARSENAL (SENSEI) X BAYERN (RAZVAN),,-0.5,
7,7,173644721,draw_no_bet,SPAIN (SENIOR),1.833,ARGENTINA (CL1VLIND) X SPAIN (SENIOR),,,
10,10,173644754,handicap,ARGENTINA (CL1VLIND),1.925,ITALY (KOFTOVSKY) X ARGENTINA (CL1VLIND),,"0.0 , -0.5",
17,17,173644918,handicap,CROATIA (CL1VLIND),1.85,MEXICO (KOFTOVSKY) X CROATIA (CL1VLIND),,0.0,
19,19,173683260,handicap,REAL MADRID (HYPER),1.85,PSG (BOLEC) X REAL MADRID (HYPER),,"-0.5 , -1.0",
20,20,173683272,goal_line,,1.9,PSG (BOLEC) X BOCA JUNIORS (GLUMAC),,4.5,under
23,23,173698146,draw_no_bet,MAN UTD (BOKI),1.727,ROMA (BOLEC) X MAN UTD (BOKI),,,
24,24,173698173,draw_no_bet,MAN UTD (BOKI),1.615,ROMA (BOLEC) X MAN UTD (BOKI),,,
