,0
Unnamed: 0,0
id,0
event_day,0
home,0
away,0
home_goals,82
away_goals,82
tot_goals,82
goals_over_under,7516
odd_goals_over1,7516
odd_goals_under1,7516
asian_handicap1,14491
team_ah1,14491
odds_ah1,14491
asian_handicap2,14491
team_ah2,14491
odds_ah2,14491
goal_line1,14491
type_gl1,14491
odds_gl1,14491
goal_line2,14491
type_gl2,14491
odds_gl2,14491
double_chance1,13579
odds_dc1,13579
double_chance2,13579
odds_dc2,13579
double_chance3,13579
odds_dc3,13579
draw_no_bet_team1,13578
odds_dnb1,13578
draw_no_bet_team2,13578
odds_dnb2,13578
media_goals_home,2
media_victories_home,0
media_goals_away,0
media_victories_away,0
h2h_mean,15721
home_h2h_mean,15725
away_h2h_mean,15725
res_goals_over_under,0
asian_handicap1_1,14491
asian_handicap1_2,14491
asian_handicap2_1,14491
asian_handicap2_2,14491
diff_goals,82
ah1_indefinido,0
ah1_negativa,0
ah1_positiva,0
ah1_reembolso,0
ah1_negativo,23066
ah1_positivo,23066
ah2_indefinido,0
ah2_negativa,0
ah2_positiva,0
ah2_reembolso,0
ah2_negativo,23066
ah2_positivo,23066
goal_line1_1,14491
goal_line1_2,14491
goal_line2_1,14491
goal_line2_2,14491
gl1_indefinido,0
gl1_negativo,0
gl1_positivo,0
gl1_reembolso,0
gl2_indefinido,0
gl2_negativo,0
gl2_positivo,0
gl2_reembolso,0
res_double_chance1,0
res_double_chance2,0
res_double_chance3,0
dnb1_ganha,0
dnb1_indefinido,0
dnb1_perde,0
dnb1_reembolso,0
dnb2_ganha,0
dnb2_indefinido,0
dnb2_perde,0
dnb2_reembolso,0
ah1_indefinido,0
ah1_negativa,0
ah1_positiva,0
ah1_reembolso,0
ah2_indefinido,0
ah2_negativa,0
ah2_positiva,0
ah2_reembolso,0
